ORF	entrex.id	pval	qval	b	se_b	mean_obs	var_obs	tech_var	sigma_sq	smooth_sigma_sq	final_sigma_sq	gene_id	Name	Link	Annotation	Growth.Rate.Slope	Bootstrapped.p.value.of.slope	R.2	Growth.Rate.Response..1.5SD	ESR	Calibration.gene.	Bootstrapped.p.value.of.R.2	p.value.of.R.2	Growth.Rate.Baseline	Variability	Bootstrapped.p.value.of.variability	Unresponsive.	beta.sig_up.down.	subtelomeric	category
15	YNL299W	2527	0.067667562	0.149875483	-0.018810603	0.010294689	5.284186397	0.079258868	0.006000545	0.041414058	0.008481358	0.041414058	TRF5	TRF5	YNL299W	sister chromatid cohesion* || DNA-directed DNA polymerase activity* || YNL299W || 1084184	-1.39	0.316	0.14	NA	down	NA	0.0341	0.0229	0.15	0.26	0.0045	NA	NA	no	core_ESR_down
16	YNL163C	734	0.000254841	0.001943252	-0.016887095	0.00461731	6.848317047	0.028555767	0.001153695	0.004450989	0.008384444	0.008384444	RIA1	RIA1	YNL163C	ribosomal large subunit biogenesis* || GTPase activity || YNL163C || 1083000	-1.06	0.438	0.21	NA	down	NA	0.00806	0.00539	0.3	0.16	0	yes	down	no	core_ESR_down
17	YCR035C	727	0.000243836	0.001877239	-0.023999657	0.006541826	5.657141273	0.051260906	0.003843879	0.015302366	0.007996284	0.015302366	RRP43	RRP43	YCR035C	35S primary transcript processing* || 3'-5'-exoribonuclease activity || YCR035C || 1082882	-0.94	0.491	0.06	NA	down	NA	0.184	0.144	0.18	0.23	4e-04	NA	down	no	core_ESR_down
18	YDR012W	2786	0.098838419	0.198563759	0.008439276	0.005113128	9.445183659	0.035154188	0.000125908	0.011570675	0.009942467	0.011570675	RPL4B	RPL4B	YDR012W	protein biosynthesis || structural constituent of ribosome || YDR012W || 1085319	-0.8	0.556	0.03	NA	down	NA	0.395	0.342	-0.24	0.34	0.104	NA	NA	no	core_ESR_down
19	YPR163C	407	8.53e-06	0.000117388	-0.020727618	0.00465645	8.245408368	0.039470561	0.000273495	0.008015414	0.009427036	0.009427036	TIF3	TIF3	YPR163C	translational initiation || translation initiation factor activity || YPR163C || 1083216	-0.7	0.607	0.05	NA	down	NA	0.238	0.192	-0.01	0.19	0	yes	down	no	core_ESR_down
20	YFL002C	1293	0.004023201	0.017401745	-0.016407832	0.00570442	6.492125552	0.033474404	0.001728431	0.012829799	0.008118528	0.012829799	SPB4	SPB4	YFL002C	35S primary transcript processing* || ATP-dependent RNA helicase activity || YFL002C || 1083775	-0.66	0.627	0.02	NA	down	NA	0.467	0.415	0.05	0.29	0.0142	NA	down	no	core_ESR_down
21	YDR418W	3122	0.153719858	0.27549473	-0.006705556	0.004700657	8.877696686	0.021830743	0.000148071	0.006470934	0.009737524	0.009737524	RPL12B	RPL12B	YDR418W	protein biosynthesis* || structural constituent of ribosome || YDR418W || 1086102	-0.61	0.654	0.08	NA	down	NA	0.14	0.106	0.39	0.15	0	yes	NA	no	core_ESR_down
22	YLR029C	1888	0.020336061	0.060286513	-0.012592045	0.005427397	9.528578267	0.038720838	8.03e-05	0.013098312	0.009966576	0.013098312	RPL15A	RPL15A	YLR029C	protein biosynthesis || structural constituent of ribosome* || YLR029C || 1086430	-0.61	0.657	0.03	NA	down	NA	0.338	0.286	0.4	0.22	3e-04	NA	NA	no	core_ESR_down
23	YOR001W	706	0.000211867	0.001681874	-0.02613552	0.007055207	6.947142534	0.067987237	0.00102851	0.02124072	0.008462693	0.02124072	RRP6	RRP6	YOR001W	35S primary transcript processing* || 3'-5'-exoribonuclease activity || YOR001W || 1081417	-0.61	0.653	0.04	NA	down	NA	0.303	0.253	0.08	0.21	0	yes	down	no	core_ESR_down
24	YOR209C	499	2.61e-05	0.000293242	-0.019426247	0.004620137	7.047754875	0.03044593	0.000999268	0.005223728	0.008550554	0.008550554	NPT1	NPT1	YOR209C	chromatin silencing at telomere* || nicotinate phosphoribosyltransferase activity || YOR209C || 1086735	-0.56	0.681	0.03	NA	down	NA	0.348	0.297	0.42	0.22	1e-04	NA	down	no	core_ESR_down
25	YJR014W	4933	0.733146754	0.831702422	0.001710128	0.005015881	5.773118051	0.016590191	0.003330737	0.006694675	0.007925159	0.007925159	TMA22	YJR014W	YJR014W	biological process unknown || RNA binding || YJR014W || 1086500	-0.55	0.686	0.04	NA	down	NA	0.269	0.219	0.19	0.18	0	yes	NA	no	core_ESR_down
26	YMR014W	646	0.000120533	0.001044309	-0.033004644	0.008583695	4.990261742	0.092671603	0.008178858	0.024784707	0.009279816	0.024784707	BUD22	BUD22	YMR014W	bud site selection || molecular function unknown || YMR014W || 1083617	-0.54	0.693	0.02	NA	down	NA	0.515	0.466	0.12	0.26	0.0037	NA	down	no	core_ESR_down
27	YGL029W	1138	0.002461093	0.012093712	-0.03499839	0.011557931	4.433854076	0.122105264	0.012007904	0.047756942	0.012398928	0.047756942	CGR1	CGR1	YGL029W	rRNA processing* || molecular function unknown || YGL029W || 1081739	-0.52	0.701	0	NA	down	NA	0.729	0.696	0.13	0.53	0.866	NA	down	no	core_ESR_down
28	YNL153C	488	2.42e-05	0.000277709	-0.023577305	0.005584623	5.244881971	0.037393193	0.0053878	0.008347117	0.008565384	0.008565384	GIM3	GIM3	YNL153C	tubulin folding || tubulin binding || YNL153C || 1081026	-0.52	0.703	0.02	NA	down	NA	0.414	0.361	0.07	0.21	0	yes	down	no	core_ESR_down
29	YNR003C	4143	0.432119236	0.583912597	-0.005814333	0.007401416	5.315456033	0.048699213	0.005924237	0.018584178	0.008417757	0.018584178	RPC34	RPC34	YNR003C	transcription from RNA polymerase III promoter || DNA-directed RNA polymerase activity || YNR003C || 1083705	-0.5	0.713	0.02	NA	down	NA	0.464	0.413	0.21	0.24	9e-04	NA	NA	no	core_ESR_down
30	YPL160W	1406	0.005811675	0.023148896	-0.013003862	0.004714582	9.105170579	0.032041482	0.000116059	0.002782266	0.009828189	0.009828189	CDC60	CDC60	YPL160W	leucyl-tRNA aminoacylation || leucine-tRNA ligase activity || YPL160W || 1082413	-0.44	0.746	0.01	NA	down	NA	0.529	0.48	0	0.23	5e-04	NA	down	no	core_ESR_down
31	YKR025W	4779	0.667880073	0.78219811	-0.003968775	0.009249945	4.925428822	0.102662912	0.008153493	0.030125804	0.009529165	0.030125804	RPC37	RPC37	YKR025W	transcription from RNA polymerase III promoter || DNA-directed RNA polymerase activity || YKR025W || 1085670	-0.42	0.758	0.03	NA	down	NA	0.408	0.355	0.05	0.18	0	yes	NA	no	core_ESR_down
32	YLR167W	1363	0.00504147	0.020702205	-0.013366926	0.00476646	9.666292888	0.037513062	7.21e-05	0.010092151	0.01000299	0.010092151	RPS31	RPS31	YLR167W	protein biosynthesis* || structural constituent of ribosome* || YLR167W || 1082161	-0.38	0.781	0.01	NA	down	NA	0.665	0.626	0.45	0.25	0.0019	NA	down	no	core_ESR_down
33	YOR188W	4255	0.472773853	0.621883727	-0.004494281	0.006259678	6.04170975	0.026802859	0.002609417	0.014920896	0.007899731	0.014920896	MSB1	MSB1	YOR188W	establishment of cell polarity (sensu Fungi) || molecular function unknown || YOR188W || 1081035	-0.37	0.786	0.01	NA	down	NA	0.561	0.514	0.01	0.18	0	yes	NA	no	core_ESR_down
34	YKL082C	1219	0.003171259	0.014550205	-0.029738376	0.010078651	5.073687625	0.080971771	0.0066522	0.038793252	0.009005402	0.038793252	RRP14	RRP14	YKL082C	establishment of cell polarity (sensu Fungi)* || molecular function unknown || YKL082C || 1083423	-0.36	0.791	0.01	NA	down	NA	0.624	0.582	-0.04	0.25	0.0019	NA	down	no	core_ESR_down
35	YIL148W	3210	0.171136874	0.298396599	-0.010690885	0.007811777	8.194295389	0.076761278	0.00030308	0.026998344	0.009398267	0.026998344	RPL40A	RPL40A	YIL148W	protein biosynthesis* || structural constituent of ribosome* || YIL148W || 1082576	-0.3	0.829	0.01	NA	down	NA	0.71	0.676	0.23	0.22	1e-04	NA	NA	no	core_ESR_down
36	YLR433C	3379	0.207715791	0.344061936	-0.006322783	0.005018594	5.740895655	0.012045771	0.00332288	0.000392213	0.007945196	0.007945196	CNA1	CNA1	YLR433C	cell wall organization and biogenesis* || calcium-dependent protein serine/threonine phosphatase activity || YLR433C || 1084019	-0.22	0.872	0	NA	down	NA	0.729	0.696	0.08	0.22	3e-04	NA	NA	no	core_ESR_down
37	YNL186W	1157	0.002593382	0.012545515	-0.015771431	0.005235803	6.739569191	0.03041239	0.001215383	0.011049186	0.008311338	0.011049186	UBP10	UBP10	YNL186W	chromatin silencing at telomere* || ubiquitin-specific protease activity || YNL186W || 1086287	-0.19	0.892	0	NA	down	NA	0.804	0.779	-0.21	0.26	0.0038	NA	down	no	core_ESR_down
38	YDR312W	1087	0.001994974	0.010272189	-0.019721064	0.006380199	5.238336024	0.037681282	0.005945527	0.012266323	0.008579874	0.012266323	SSF2	SSF2	YDR312W	ribosomal large subunit assembly and maintenance* || rRNA binding || YDR312W || 1085211	-0.18	0.899	0.01	NA	down	NA	0.696	0.661	0.02	0.15	0	yes	down	no	core_ESR_down
39	YOR233W	2363	0.051730267	0.122571412	-0.010305405	0.005297397	5.858818937	0.028781866	0.003026489	0.009528335	0.007888472	0.009528335	KIN4	KIN4	YOR233W	biological process unknown || protein kinase activity || YOR233W || 1083916	-0.14	0.921	0	NA	down	NA	0.87	0.852	-0.02	0.26	0.0029	NA	NA	no	core_ESR_down
40	YNL227C	1619	0.010846722	0.037497902	-0.02038828	0.008002941	4.692662742	0.050919827	0.009920526	0.018733448	0.010685072	0.018733448	JJJ1	JJJ1	YNL227C	endocytosis || molecular function unknown || YNL227C || 1082478	-0.13	0.923	0	NA	down	NA	0.822	0.799	0.16	0.18	0	yes	down	no	core_ESR_down
41	YHR141C	845	0.000586303	0.003883475	-0.019369293	0.005634092	8.246845289	0.069801465	0.000289918	0.013911559	0.009427837	0.013911559	RPL42B	RPL42B	YHR141C	protein biosynthesis || structural constituent of ribosome || YHR141C || 1080839	-0.12	0.929	0	NA	down	NA	0.885	0.87	0.32	0.28	0.01	NA	down	no	core_ESR_down
42	YNL162W	735	0.000256995	0.001957006	-0.018349606	0.005020155	8.083903319	0.05229372	0.00031967	0.010955419	0.009334305	0.010955419	RPL42A	RPL42A	YNL162W	protein biosynthesis || structural constituent of ribosome || YNL162W || 1083669	-0.11	0.935	0	NA	down	NA	0.891	0.876	0.27	0.27	0.0067	NA	down	no	core_ESR_down
43	YJL138C	5098	0.802648707	0.881165194	0.001186329	0.004746823	9.445351354	0.027446236	0.000138208	0.004419561	0.009942517	0.009942517	TIF2	TIF2	YJL138C	translational initiation* || translation initiation factor activity* || YJL138C || 1085981	-0.1	0.941	0	NA	down	NA	0.758	0.727	0.21	0.11	0	yes	NA	no	core_ESR_down
44	YLR447C	2144	0.033984547	0.08872374	-0.009835769	0.004638956	7.913331207	0.018472272	0.000397154	0.00790386	0.009230626	0.009230626	VMA6	VMA6	YLR447C	vacuolar acidification* || hydrogen-transporting ATPase activity, rotational mechanism || YLR447C || 1082337	-0.1	0.939	0	NA	down	NA	0.885	0.87	0.28	0.25	0.0023	NA	NA	no	core_ESR_down
45	YLR074C	1882	0.020157668	0.059948177	-0.027309304	0.011754025	4.999165043	0.12447537	0.007653407	0.054156612	0.009248193	0.054156612	BUD20	BUD20	YLR074C	bud site selection || molecular function unknown || YLR074C || 1085585	-0.08	0.956	0	NA	down	NA	0.928	0.918	-0.19	0.28	0.0103	NA	NA	no	core_ESR_down
46	YDR097C	4426	0.538311979	0.680680214	0.003895336	0.006330096	6.671373289	0.039598514	0.001395721	0.016531222	0.00826726	0.016531222	MSH6	MSH6	YDR097C	mismatch repair || DNA binding* || YDR097C || 1086274	-0.05	0.971	0	NA	down	NA	0.942	0.934	0.06	0.26	0.0033	NA	NA	no	core_ESR_down
47	YBR031W	2625	0.077603919	0.165466337	0.009374285	0.005311928	10.13473203	0.031353259	4.98e-05	0.012573981	0.01009507	0.012573981	RPL4A	RPL4A	YBR031W	protein biosynthesis || structural constituent of ribosome || YBR031W || 1083321	0	0.997	0	NA	down	NA	0.996	0.996	-0.42	0.37	0.191	NA	NA	no	core_ESR_down
48	YLR249W	5545	0.979674209	0.98880737	0.000120685	0.004736968	11.79286716	0.018470838	7.54e-06	0.003976199	0.010031371	0.010031371	YEF3	YEF3	YLR249W	translational elongation || translation elongation factor activity || YLR249W || 1085475	0	1	0	NA	down	NA	0.999	0.999	0.15	0.27	0.007	NA	NA	no	core_ESR_down
49	YNL308C	1261	0.003614047	0.016053084	-0.031170422	0.010711409	5.944574172	0.107139074	0.003032805	0.048298089	0.007882853	0.048298089	KRI1	KRI1	YNL308C	ribosome biogenesis || molecular function unknown || YNL308C || 1086150	0.03	0.983	0	NA	down	NA	0.966	0.961	0.07	0.24	9e-04	NA	down	no	core_ESR_down
50	YDR447C	835	0.000534173	0.00358056	-0.016084193	0.004644573	8.032329323	0.040983766	0.000347536	0.00864843	0.009303574	0.009303574	RPS17B	RPS17B	YDR447C	protein biosynthesis* || structural constituent of ribosome || YDR447C || 1084817	0.08	0.955	0	NA	down	NA	0.933	0.924	0.16	0.25	0.0023	NA	down	no	core_ESR_down
51	YHL013C	901	0.000758091	0.00470925	-0.024670988	0.007325855	4.542067317	0.050787433	0.012380355	0.005010661	0.011630206	0.011630206	OTU2	YHL013C	YHL013C	biological process unknown || molecular function unknown || YHL013C || 1082740	0.08	0.954	0	NA	down	NA	0.888	0.873	0.1	0.2	0	yes	NA	no	core_ESR_down
52	YBR267W	1842	0.018648925	0.056662937	-0.023897315	0.01015837	5.566744072	0.09903718	0.004245426	0.041921788	0.008061115	0.041921788	REI1	REI1	YBR267W	budding cell bud growth* || molecular function unknown || YBR267W || 1083977	0.15	0.912	0	NA	down	NA	0.807	0.782	-0.18	0.19	0	yes	NA	no	core_ESR_down
53	YPR169W	1513	0.007827739	0.028956942	-0.014858665	0.005587201	6.279644394	0.026717171	0.002087919	0.011878152	0.007965774	0.011878152	JIP5	YPR169W	YPR169W	protein monoubiquitination || molecular function unknown || YPR169W || 1084685	0.15	0.913	0	NA	down	NA	0.729	0.697	-0.34	0.15	0	yes	NA	no	core_ESR_down
54	YOL041C	1558	0.008893397	0.031948871	-0.023586212	0.009015705	6.359897137	0.07513315	0.001952041	0.034413079	0.008013208	0.034413079	NOP12	NOP12	YOL041C	rRNA metabolism || RNA binding || YOL041C || 1085385	0.18	0.898	0	NA	down	NA	0.79	0.763	-0.07	0.24	6e-04	NA	down	no	core_ESR_down
55	YKL181W	4831	0.691038678	0.800453321	0.001841549	0.004633458	7.834538231	0.012995707	0.0004242	0.007606159	0.009180773	0.009180773	PRS1	PRS1	YKL181W	histidine biosynthesis* || ribose phosphate diphosphokinase activity || YKL181W || 1082781	0.21	0.881	0.02	NA	down	NA	0.461	0.41	0.17	0.09	0	yes	NA	no	core_ESR_down
56	YIL019W	2010	0.026536507	0.073872025	-0.032444736	0.014626152	4.701965975	0.193588504	0.010256887	0.085450569	0.010631646	0.085450569	FAF1	FAF1	YIL019W	processing of 20S pre-rRNA || molecular function unknown || YIL019W || 1082621	0.25	0.857	0.01	NA	down	NA	0.677	0.64	-0.06	0.22	3e-04	NA	NA	no	core_ESR_down
57	YPL235W	3985	0.380403528	0.534283198	-0.004062436	0.004631388	6.69086482	0.012444784	0.001315443	0.002875027	0.008280947	0.008280947	RVB2	RVB2	YPL235W	regulation of transcription from RNA polymerase II promoter* || ATPase activity || YPL235W || 1084807	0.27	0.844	0.03	NA	down	NA	0.332	0.281	-0.01	0.1	0	yes	NA	no	core_ESR_down
58	YKL144C	1570	0.009137838	0.0325761	-0.018323543	0.007028988	5.019293923	0.059678766	0.00755887	0.014545146	0.009178855	0.014545146	RPC25	RPC25	YKL144C	transcription from RNA polymerase III promoter || DNA-directed RNA polymerase activity || YKL144C || 1085675	0.3	0.824	0.01	NA	down	NA	0.709	0.675	0.25	0.29	0.0163	NA	down	no	core_ESR_down
59	YDR365C	2398	0.054883752	0.128100234	-0.014578877	0.007593974	6.821901178	0.046076305	0.001343227	0.024457021	0.008365287	0.024457021	ESF1	ESF1	YDR365C	rRNA processing || RNA binding || YDR365C || 1086636	0.31	0.821	0	NA	down	NA	0.784	0.756	-0.12	0.37	0.203	NA	NA	no	core_ESR_down
60	YFL023W	1607	0.010633242	0.037034384	-0.02449278	0.009587993	5.282728246	0.077387203	0.005254498	0.035873833	0.00848439	0.035873833	BUD27	BUD27	YFL023W	bud site selection || molecular function unknown || YFL023W || 1086410	0.31	0.822	0.01	NA	down	NA	0.656	0.617	-0.24	0.25	0.0018	NA	down	no	core_ESR_down
61	YBR030W	2199	0.037717493	0.09595673	-0.010237832	0.004926981	5.837367955	0.031933944	0.002966147	0.006684834	0.007894294	0.007894294	RKM3	YBR030W	YBR030W	phospholipid metabolism || molecular function unknown || YBR030W || 1082303	0.35	0.796	0.02	NA	down	NA	0.495	0.445	-0.11	0.17	0	yes	NA	no	core_ESR_down
62	YOR145C	1561	0.008955546	0.032110309	-0.024359227	0.009319659	6.310818728	0.081691803	0.002007948	0.036850523	0.007982125	0.036850523	PNO1	PNO1	YOR145C	rRNA processing* || unfolded protein binding || YOR145C || 1080909	0.35	0.799	0.01	NA	down	NA	0.577	0.532	-0.05	0.21	0	yes	down	no	core_ESR_down
63	YPR034W	2147	0.034049596	0.088763666	-0.010274456	0.004847622	6.010909052	0.016213774	0.002620766	0.004419712	0.007892632	0.007892632	ARP7	ARP7	YPR034W	chromatin remodeling || general RNA polymerase II transcription factor activity || YPR034W || 1083717	0.35	0.799	0.01	NA	down	NA	0.709	0.675	-0.44	0.28	0.0116	NA	NA	no	core_ESR_down
64	YJR064W	1959	0.024345782	0.069526639	-0.010449614	0.004640915	7.917314826	0.016061982	0.000402798	0.005388975	0.009233113	0.009233113	CCT5	CCT5	YJR064W	protein folding* || unfolded protein binding || YJR064W || 1083385	0.36	0.791	0.02	NA	down	NA	0.415	0.362	0.07	0.17	0	yes	NA	no	core_ESR_down
65	YMR277W	3635	0.26927553	0.414617645	-0.005291871	0.004790184	6.487236327	0.026407807	0.001645014	0.008620718	0.008114312	0.008620718	FCP1	FCP1	YMR277W	transcription* || phosphoprotein phosphatase activity* || YMR277W || 1085496	0.36	0.793	0.01	NA	down	NA	0.59	0.545	-0.19	0.23	5e-04	NA	NA	no	core_ESR_down
66	YDR346C	552	4.4e-05	0.00044595	-0.020092986	0.004918118	7.216141921	0.034877384	0.000822397	0.009999007	0.008706774	0.009999007	SVF1	SVF1	YDR346C	response to oxidative stress || molecular function unknown || YDR346C || 1084306	0.44	0.749	0.01	NA	down	NA	0.585	0.54	0.06	0.28	0.0131	NA	down	no	core_ESR_down
67	YGL189C	1475	0.006978343	0.026479855	-0.014031245	0.005200849	8.611389225	0.043141766	0.000200949	0.011900408	0.009617115	0.011900408	RPS26A	RPS26A	YGL189C	protein biosynthesis || structural constituent of ribosome || YGL189C || 1083690	0.46	0.735	0.01	NA	down	NA	0.605	0.561	-0.22	0.25	0.0014	NA	down	no	core_ESR_down
68	YHR026W	5354	0.901402759	0.942138421	-0.00057214	0.00461815	7.532952177	0.025493566	0.000562987	0.006869602	0.008978623	0.008978623	PPA1	PPA1	YHR026W	vacuolar acidification || hydrogen-transporting ATPase activity, rotational mechanism || YHR026W || 1082203	0.46	0.737	0.01	NA	down	NA	0.563	0.516	-0.21	0.26	0.0046	NA	NA	no	core_ESR_down
69	YKR059W	5057	0.78219798	0.865552016	-0.001311342	0.004743406	9.48256093	0.021359419	0.000112752	0.008768058	0.009953464	0.009953464	TIF1	TIF1	YKR059W	translational initiation || translation initiation factor activity || YKR059W || 1081296	0.47	0.73	0.09	NA	down	NA	0.103	0.0752	0.03	0.1	0	yes	NA	no	core_ESR_down
70	YDL153C	1829	0.018407069	0.056266722	-0.025055018	0.010628575	5.639456228	0.102718423	0.003595268	0.046944788	0.008007718	0.046944788	SAS10	SAS10	YDL153C	processing of 20S pre-rRNA* || snoRNA binding || YDL153C || 1083490	0.5	0.711	0.02	NA	down	NA	0.435	0.383	-0.07	0.23	4e-04	NA	NA	no	core_ESR_down
71	YGL123W	4026	0.390900461	0.543300194	0.004085346	0.004761556	10.21179375	0.023480947	3.79e-05	0.004226686	0.010105509	0.010105509	RPS2	RPS2	YGL123W	protein biosynthesis* || structural constituent of ribosome || YGL123W || 1082284	0.51	0.709	0.04	NA	down	NA	0.324	0.273	-0.09	0.17	0	yes	NA	no	core_ESR_down
72	YDR385W	3534	0.244637818	0.387447049	0.005541004	0.004762471	11.2468588	0.024330931	2.92e-05	0.006069611	0.010118068	0.010118068	EFT2	EFT2	YDR385W	translational elongation || translation elongation factor activity || YDR385W || 1083597	0.53	0.699	0.02	NA	down	NA	0.46	0.408	-0.35	0.24	9e-04	NA	NA	no	core_ESR_down
73	YHR193C	1645	0.011717829	0.039869112	-0.012084962	0.004794612	7.719955091	0.020549884	0.000441055	0.009843666	0.009106099	0.009843666	EGD2	EGD2	YHR193C	nascent polypeptide association || unfolded protein binding || YHR193C || 1081521	0.53	0.697	0.04	NA	down	NA	0.301	0.251	-0.34	0.17	0	yes	down	no	core_ESR_down
74	YDR211W	819	0.000475325	0.003248341	-0.016124743	0.004614598	7.349360186	0.036018456	0.000697847	0.007852542	0.008829091	0.008829091	GCD6	GCD6	YDR211W	translational initiation || translation initiation factor activity* || YDR211W || 1081836	0.54	0.691	0.05	NA	down	NA	0.252	0.204	-0.21	0.16	0	yes	down	no	core_ESR_down
75	YKR043C	3044	0.142200011	0.261377162	-0.006728923	0.004584836	7.101520149	0.020661796	0.000804717	0.007239183	0.00859973	0.00859973	YKR043C	YKR043C	YKR043C	biological process unknown || molecular function unknown || YKR043C || 1086490	0.54	0.691	0.02	NA	down	NA	0.449	0.397	0.02	0.26	0.0043	NA	NA	no	core_ESR_down
76	YML080W	1754	0.015311918	0.048860208	-0.021879574	0.009022816	5.375737817	0.079198007	0.004975218	0.03144729	0.008301755	0.03144729	DUS1	DUS1	YML080W	tRNA modification || tRNA dihydrouridine synthase activity || YML080W || 1086545	0.54	0.692	0.01	NA	down	NA	0.552	0.505	-0.12	0.31	0.0391	NA	down	no	core_ESR_down
