ORF	entrex.id	pval	qval	b	se_b	mean_obs	var_obs	tech_var	sigma_sq	smooth_sigma_sq	final_sigma_sq	gene_id	Name	Link	Annotation	Growth.Rate.Slope	Bootstrapped.p.value.of.slope	R.2	Growth.Rate.Response..1.5SD	ESR	Calibration.gene.	Bootstrapped.p.value.of.R.2	p.value.of.R.2	Growth.Rate.Baseline	Variability	Bootstrapped.p.value.of.variability	Unresponsive.	beta(sig_up.down)	subtelomeric	category
YNL160W	164	1.31E-08	4.48E-07	0.143252632	0.025201446	6.149797598	1.532552211	0.004482613	0.279660114	0.007928288	0.279660114	YGP1	YGP1	YNL160W	response to stress* || molecular function unknown || YNL160W || 1084970	-11.75	0	0.36	down	up	NA	0.00019	0.000126	3.42	1.42	1	NA	up	no	ESR_up
YIL169C	1737	0.014694968	0.047350452	0.042492029	0.017416118	5.494592818	0.996688476	0.006687867	0.129014796	0.008130327	0.129014796	YIL169C	YIL169C	YIL169C	biological process unknown || molecular function unknown || YIL169C || 1085851	-11.58	0	0.33	down	NA	NA	0.00039	0.000279	2.66	1.53	1	NA	up	TEL	TELO
YML128C	112	2.41E-10	1.20E-08	0.102668364	0.016211905	6.253735865	0.854966738	0.002866519	0.114718965	0.007954525	0.114718965	MSC1	MSC1	YML128C	meiotic recombination || molecular function unknown || YML128C || 1084369	-11.56	0	0.72	down	up	yes	0	5.10E-11	3.04	1.02	1	NA	up	TEL	ccore_ESR_up
YML128C	112	2.41E-10	1.20E-08	0.102668364	0.016211905	6.253735865	0.854966738	0.002866519	0.114718965	0.007954525	0.114718965	MSC1	MSC1	YML128C	meiotic recombination || molecular function unknown || YML128C || 1084369	-11.56	0	0.72	down	up	yes	0	5.10E-11	3.04	1.02	1	NA	up	TEL	TELO
YPR160W	382	5.83E-06	8.55E-05	0.104588423	0.023076206	6.084650387	1.089190169	0.003554281	0.234685602	0.007911013	0.234685602	GPH1	GPH1	YPR160W	glycogen catabolism || glycogen phosphorylase activity || YPR160W || 1086125	-11.54	0	0.51	down	NA	yes	0	8.74E-07	2.59	1.19	1	NA	up	no	ESR_up
YKL217W	22	5.05E-19	1.28E-16	0.113110864	0.012693092	4.026176049	1.205822902	0.03172534	0.040355609	0.015994857	0.040355609	JEN1	JEN1	YKL217W	lactate transport || lactate transporter activity || YKL217W || 1080916	-11.49	0	0.18	down	NA	NA	0.0169	0.0111	-0.17	1.88	1	NA	up	TEL	TELO
YOL052C-A	131	2.11E-09	9.00E-08	0.140863306	0.023518755	3.826182756	2.765228701	0.066821812	0.180643479	0.018347563	0.180643479	DDR2	DDR2	YOL052C-A	response to stress || molecular function unknown || YOL052C-A || 1081749	-11.36	0	0.77	down	NA	yes	0	1.58E-12	2.99	0.98	1	NA	up	no	ESR_up
YGR256W	49	4.27E-15	4.88E-13	0.112377462	0.014321679	4.069289725	0.842209816	0.02585351	0.065910732	0.015545797	0.065910732	GND2	GND2	YGR256W	glucose metabolism || phosphogluconate dehydrogenase (decarboxylating) activity || YGR256W || 1080627	-11.18	0	0.56	down	up	yes	0	1.63E-07	2.94	1.09	1	NA	up	no	ccore_ESR_up
YIL136W	183	3.67E-08	1.12E-06	0.074947667	0.013611836	4.526381756	0.408807672	0.014866373	0.06802685	0.01173713	0.06802685	OM45	OM45	YIL136W	biological process unknown || molecular function unknown || YIL136W || 1082389	-11.18	0	0.55	down	up	yes	0	1.95E-07	2.48	1.05	1	NA	up	no	ccore_ESR_up
YGR256W	49	4.27E-15	4.88E-13	0.112377462	0.014321679	4.069289725	0.842209816	0.02585351	0.065910732	0.015545797	0.065910732	GND2	GND2	YGR256W	glucose metabolism || phosphogluconate dehydrogenase (decarboxylating) activity || YGR256W || 1080627	-11.18	0	0.56	down	up	yes	0	1.63E-07	2.94	1.09	1	NA	up	no	ESR_up
YIL136W	183	3.67E-08	1.12E-06	0.074947667	0.013611836	4.526381756	0.408807672	0.014866373	0.06802685	0.01173713	0.06802685	OM45	OM45	YIL136W	biological process unknown || molecular function unknown || YIL136W || 1082389	-11.18	0	0.55	down	up	yes	0	1.95E-07	2.48	1.05	1	NA	up	no	ESR_up
Q0130	4497	0.565170827	0.703502429	-0.003602878	0.006263934	7.799695393	0.044533111	0.000453842	0.017100318	0.009158337	0.017100318	OLI1	OLI1	Q0130	protein complex assembly* || structural molecule activity* || Q0130 || 1081841	-10.99	0	0.74	down	NA	yes	0	1.35E-11	2.07	0.91	1	NA	NA	no	NA
YCR021C	2196	0.037613684	0.095866935	0.125290333	0.060263554	5.290780368	1.988006846	0.012426113	1.612355949	0.008467724	1.612355949	HSP30	HSP30	YCR021C	response to stress || molecular function unknown || YCR021C || 1083695	-10.96	0	0.56	down	NA	yes	0	1.51E-07	2.62	1.02	1	NA	NA	no	ESR_up
YOL084W	415	1.01E-05	0.000135567	0.087153544	0.019735451	6.140464608	0.814018818	0.003759806	0.170492992	0.007925956	0.170492992	PHM7	PHM7	YOL084W	biological process unknown || molecular function unknown || YOL084W || 1083709	-10.66	0	0.53	down	up	yes	0	4.79E-07	4.04	0.97	1	NA	up	no	ccore_ESR_up
YOL084W	415	1.01E-05	0.000135567	0.087153544	0.019735451	6.140464608	0.814018818	0.003759806	0.170492992	0.007925956	0.170492992	PHM7	PHM7	YOL084W	biological process unknown || molecular function unknown || YOL084W || 1083709	-10.66	0	0.53	down	up	yes	0	4.79E-07	4.04	0.97	1	NA	up	no	ESR_up
YBR169C	128	1.49E-09	6.53E-08	0.051300016	0.008486121	6.139121686	0.316911567	0.002520179	0.029698228	0.007925614	0.029698228	SSE2	SSE2	YBR169C	protein folding || molecular function unknown || YBR169C || 1083474	-10.58	0	0.77	down	up	yes	0	2.94E-12	2.99	0.89	1	NA	up	no	ccore_ESR_up
YGL205W	1069	0.001862023	0.009749056	0.054624172	0.017556137	2.734227283	0.404891456	0.094459809	-0.017569734	0.043433615	0.043433615	POX1	POX1	YGL205W	fatty acid beta-oxidation || acyl-CoA oxidase activity || YGL205W || 1086172	-10.58	0	0.36	down	NA	NA	0.00017	0.000109	1.5	1.2	1	NA	up	no	ESR_up
YBR169C	128	1.49E-09	6.53E-08	0.051300016	0.008486121	6.139121686	0.316911567	0.002520179	0.029698228	0.007925614	0.029698228	SSE2	SSE2	YBR169C	protein folding || molecular function unknown || YBR169C || 1083474	-10.58	0	0.77	down	up	yes	0	2.94E-12	2.99	0.89	1	NA	up	no	ESR_up
YNL093W	283	7.81E-07	1.54E-05	0.133762362	0.027076466	1.875788242	1.3775666	0.205160397	0.122836394	0.092081639	0.122836394	YPT53	YPT53	YNL093W	endocytosis* || GTPase activity || YNL093W || 1084631	-10.51	0	0.78	down	NA	yes	0	7.40E-13	2.87	0.86	1	NA	up	no	ESR_up
YLL026W	113	3.55E-10	1.76E-08	0.066389228	0.010583954	7.602881759	0.524515431	0.000631178	0.049485408	0.009027176	0.049485408	HSP104	HSP104	YLL026W	response to stress* || chaperone binding* || YLL026W || 1085018	-10.48	0	0.76	down	up	yes	0	3.96E-12	2.83	0.84	1	NA	up	no	ccore_ESR_up
YLL026W	113	3.55E-10	1.76E-08	0.066389228	0.010583954	7.602881759	0.524515431	0.000631178	0.049485408	0.009027176	0.049485408	HSP104	HSP104	YLL026W	response to stress* || chaperone binding* || YLL026W || 1085018	-10.48	0	0.76	down	up	yes	0	3.96E-12	2.83	0.84	1	NA	up	no	ESR_up
YFL030W	92	3.48E-11	2.12E-09	0.065599459	0.009902081	4.942181219	0.241711726	0.007579447	0.036287617	0.009461369	0.036287617	AGX1	AGX1	YFL030W	glycine biosynthesis || alanine-glyoxylate transaminase activity || YFL030W || 1084273	-10.41	0	0.34	down	NA	NA	0.00032	0.000215	0.39	1.22	1	NA	up	no	ESR_up
YLR377C	767	0.000317998	0.002322533	0.075146456	0.020872978	2.425707475	0.500447716	0.138254038	-0.026386583	0.056665087	0.056665087	FBP1	FBP1	YLR377C	gluconeogenesis || fructose-bisphosphatase activity || YLR377C || 1086804	-10.34	0	0.15	down	NA	NA	0.0319	0.0213	1.87	1.66	1	NA	up	no	ESR_up
YGL156W	229	1.43E-07	3.50E-06	0.090937755	0.017284987	5.876498807	0.699677271	0.003942343	0.129724514	0.007885145	0.129724514	AMS1	AMS1	YGL156W	carbohydrate metabolism* || alpha-mannosidase activity || YGL156W || 1085375	-10.22	0	0.84	down	up	yes	0	3.89E-15	3.02	0.82	1	NA	up	no	ccore_ESR_up
YGL156W	229	1.43E-07	3.50E-06	0.090937755	0.017284987	5.876498807	0.699677271	0.003942343	0.129724514	0.007885145	0.129724514	AMS1	AMS1	YGL156W	carbohydrate metabolism* || alpha-mannosidase activity || YGL156W || 1085375	-10.22	0	0.84	down	up	yes	0	3.89E-15	3.02	0.82	1	NA	up	no	ESR_up
YMR322C	5177	0.829152697	0.896420253	0.006514426	0.030188954	2.124894689	0.909092073	0.333932771	-0.029228318	0.073805768	0.073805768	SNO4	SNO4	YMR322C	pyridoxine metabolism || unfolded protein binding* || YMR322C || 1081145	-10.17	0	0.74	down	NA	yes	0	1.42E-11	2.69	0.81	1	NA	NA	TEL	TELO
YGR088W	532	3.50E-05	0.000368447	0.089468976	0.021620849	6.295650184	0.95625004	0.003285882	0.205851246	0.007973806	0.205851246	CTT1	CTT1	YGR088W	response to stress || catalase activity || YGR088W || 1080876	-10.15	0	0.53	down	up	yes	0	5.52E-07	3.24	1	1	NA	up	no	ccore_ESR_up
YGR088W	532	3.50E-05	0.000368447	0.089468976	0.021620849	6.295650184	0.95625004	0.003285882	0.205851246	0.007973806	0.205851246	CTT1	CTT1	YGR088W	response to stress || catalase activity || YGR088W || 1080876	-10.15	0	0.53	down	up	yes	0	5.52E-07	3.24	1	1	NA	up	no	ESR_up
YDL085W	198	5.53E-08	1.56E-06	0.103155582	0.018985703	3.231653755	0.821115718	0.066772412	0.094492178	0.028773134	0.094492178	NDE2	NDE2	YDL085W	ethanol fermentation* || NADH dehydrogenase activity || YDL085W || 1082045	-10.09	0	0.55	down	NA	yes	0	2.29E-07	2.4	0.94	1	NA	up	no	ESR_up
YAL061W	257	3.56E-07	7.70E-06	0.095302657	0.01871925	5.061147553	0.892338316	0.011132984	0.145636864	0.009043685	0.145636864	BDH2	NA	YAL061W	"biological process unknown || oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor || YAL061W || 1080638"	-10.01	0	0.42	down	up	NA	4.00E-05	1.83E-05	3.01	1.09	1	NA	down	TEL	ccore_ESR_up
YGR248W	590	6.81E-05	0.000646101	0.097951509	0.024593625	4.323780778	0.949969094	0.030151545	0.240450292	0.013251738	0.240450292	SOL4	SOL4	YGR248W	biological process unknown || 6-phosphogluconolactonase activity || YGR248W || 1080701	-10.01	0	0.51	down	up	yes	0	9.22E-07	3.34	0.98	1	NA	up	no	ccore_ESR_up
YGR248W	590	6.81E-05	0.000646101	0.097951509	0.024593625	4.323780778	0.949969094	0.030151545	0.240450292	0.013251738	0.240450292	SOL4	SOL4	YGR248W	biological process unknown || 6-phosphogluconolactonase activity || YGR248W || 1080701	-10.01	0	0.51	down	up	yes	0	9.22E-07	3.34	0.98	1	NA	up	no	ESR_up
YAL061W	257	3.56E-07	7.70E-06	0.095302657	0.01871925	5.061147553	0.892338316	0.011132984	0.145636864	0.009043685	0.145636864	BDH2	NA	YAL061W	"biological process unknown || oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor || YAL061W || 1080638"	-10.01	0	0.42	down	up	NA	4.00E-05	1.83E-05	3.01	1.09	1	NA	down	TEL	TELO
YHR137W	10	3.61E-25	2.02E-22	0.172070007	0.016602396	3.267223328	1.554131342	0.082911378	0.040406819	0.027967519	0.040406819	ARO9	ARO9	YHR137W	aromatic amino acid family metabolism || aromatic-amino-acid transaminase activity || YHR137W || 1086520	-9.97	0	0.28	down	up	NA	0.0013	0.000951	2.12	1.34	1	NA	up	no	ccore_ESR_up
YHR137W	10	3.61E-25	2.02E-22	0.172070007	0.016602396	3.267223328	1.554131342	0.082911378	0.040406819	0.027967519	0.040406819	ARO9	ARO9	YHR137W	aromatic amino acid family metabolism || aromatic-amino-acid transaminase activity || YHR137W || 1086520	-9.97	0	0.28	down	up	NA	0.0013	0.000951	2.12	1.34	1	NA	up	no	ESR_up
YPL280W	1940	0.023236432	0.067038305	0.082727623	0.036451518	2.526957537	0.963637788	0.252142489	0.342309618	0.051894344	0.342309618	HSP32	HSP32	YPL280W	biological process unknown || unfolded protein binding* || YPL280W || 1085743	-9.88	0	0.78	down	NA	yes	0	1.00E-12	2.58	0.78	0.999	NA	NA	TEL	TELO
YER065C	778	0.000353288	0.002541588	0.019014795	0.005322214	5.425499029	0.068926923	0.004453305	0.004824968	0.008219428	0.008219428	ICL1	ICL1	YER065C	glyoxylate cycle || isocitrate lyase activity || YER065C || 1081617	-9.85	0	0.11	down	NA	NA	0.0688	0.0489	1.86	1.81	1	NA	up	no	ESR_up
YMR174C	627	0.000101567	0.000906651	0.116587965	0.029995738	2.146464577	0.684395402	0.133449644	0.269086369	0.072411456	0.269086369	PAI3	PAI3	YMR174C	vacuolar protein catabolism || endopeptidase inhibitor activity || YMR174C || 1086588	-9.8	0	0.71	down	up	yes	0	1.07E-10	2.43	0.79	0.999	NA	up	no	ccore_ESR_up
YMR174C	627	0.000101567	0.000906651	0.116587965	0.029995738	2.146464577	0.684395402	0.133449644	0.269086369	0.072411456	0.269086369	PAI3	PAI3	YMR174C	vacuolar protein catabolism || endopeptidase inhibitor activity || YMR174C || 1086588	-9.8	0	0.71	down	up	yes	0	1.07E-10	2.43	0.79	0.999	NA	up	no	ESR_up
YKL163W	15	6.59E-22	2.47E-19	0.12592096	0.013089734	5.56192857	1.225348527	0.007016323	0.069639873	0.00806514	0.069639873	PIR3	PIR3	YKL163W	cell wall organization and biogenesis || structural constituent of cell wall || YKL163W || 1084812	-9.73	0	0.42	down	NA	NA	4.00E-05	2.05E-05	2.16	1	1	NA	up	no	ESR_up
YDR070C	118	5.21E-10	2.47E-08	0.11197598	0.018023615	2.978001395	0.823547186	0.081189218	0.064145516	0.035385441	0.064145516	FMP16	YDR070C	YDR070C	biological process unknown || molecular function unknown || YDR070C || 1083116	-9.72	0	0.54	down	up	yes	0	3.10E-07	2.68	0.9	1	NA	NA	no	ccore_ESR_up
YDR070C	118	5.21E-10	2.47E-08	0.11197598	0.018023615	2.978001395	0.823547186	0.081189218	0.064145516	0.035385441	0.064145516	FMP16	YDR070C	YDR070C	biological process unknown || molecular function unknown || YDR070C || 1083116	-9.72	0	0.54	down	up	yes	0	3.10E-07	2.68	0.9	1	NA	NA	no	ESR_up
YMR196W	490	2.46E-05	0.000280505	0.063424622	0.015035337	6.618351049	0.419114999	0.001619502	0.099517941	0.008226443	0.099517941	YMR196W	YMR196W	YMR196W	biological process unknown || molecular function unknown || YMR196W || 1083754	-9.68	0	0.63	down	up	yes	0	7.82E-09	2.45	0.84	1	NA	up	no	ccore_ESR_up
YMR196W	490	2.46E-05	0.000280505	0.063424622	0.015035337	6.618351049	0.419114999	0.001619502	0.099517941	0.008226443	0.099517941	YMR196W	YMR196W	YMR196W	biological process unknown || molecular function unknown || YMR196W || 1083754	-9.68	0	0.63	down	up	yes	0	7.82E-09	2.45	0.84	1	NA	up	no	ESR_up
YJL161W	507	2.81E-05	0.000309902	0.065543951	0.015648303	3.65027233	0.445285498	0.037075724	0.07247623	0.020834731	0.07247623	FMP33	YJL161W	YJL161W	biological process unknown || molecular function unknown || YJL161W || 1083712	-9.4	0	0.77	down	up	yes	0	1.80E-12	2.53	0.77	0.999	NA	NA	no	ccore_ESR_up
YJL161W	507	2.81E-05	0.000309902	0.065543951	0.015648303	3.65027233	0.445285498	0.037075724	0.07247623	0.020834731	0.07247623	FMP33	YJL161W	YJL161W	biological process unknown || molecular function unknown || YJL161W || 1083712	-9.4	0	0.77	down	up	yes	0	1.80E-12	2.53	0.77	0.999	NA	NA	no	ESR_up
YGR032W	838	0.000553653	0.003697845	0.041164882	0.011920246	8.000761041	0.32758699	0.000366378	0.063204185	0.009284499	0.063204185	GSC2	GSC2	YGR032W	"cell wall organization and biogenesis* || 1,3-beta-glucan synthase activity || YGR032W || 1081286"	-9.12	0	0.67	down	NA	yes	0	8.39E-10	3.17	0.75	0.998	NA	up	no	ESR_up
YKR046C	19	1.56E-19	4.60E-17	0.048792031	0.005397105	7.911048992	0.152940413	0.000419867	0.012612023	0.009229199	0.012612023	PET10	PET10	YKR046C	aerobic respiration || molecular function unknown || YKR046C || 1081938	-9.06	0	0.6	down	NA	yes	0	3.65E-08	2.07	0.77	0.999	NA	up	no	ESR_up
