ORF	entrex.id	pval	qval	b	se_b	mean_obs	var_obs	tech_var	sigma_sq	smooth_sigma_sq	final_sigma_sq	gene_id	Name	Link	Annotation	Growth.Rate.Slope	Bootstrapped.p.value.of.slope	R.2	Growth.Rate.Response..1.5SD	ESR	Calibration.gene.	Bootstrapped.p.value.of.R.2	p.value.of.R.2	Growth.Rate.Baseline	Variability	Bootstrapped.p.value.of.variability	Unresponsive.	beta.sig_up.down.	subtelomeric	category
30	YNL208W	864	0.000649473	0.004202429	0.039564351	0.011602227	7.380948179	0.208476836	0.000656287	0.059567536	0.008856884	0.059567536	YNL208W	YNL208W	YNL208W	biological process unknown || molecular function unknown || YNL208W || 1081903	-3.37	0.0212	0.26	NA	up	NA	0.002	0.0014	1.05	0.45	0.614	NA	up	no	Insensitive_up
31	YGL146C	1102	0.002119904	0.010766882	0.041271923	0.013430942	3.36038116	0.219226111	0.038670017	0.042034632	0.02598338	0.042034632	RRT6	YGL146C	YGL146C	biological process unknown || molecular function unknown || YGL146C || 1082315	-3.24	0.0265	0.14	NA	NA	NA	0.0354	0.0239	-0.19	0.62	0.971	NA	NA	no	Insensitive_up
32	YCL038C	231	1.58e-07	3.82e-06	0.028077473	0.00535498	5.789697186	0.051728491	0.003114137	0.009715113	0.00791511	0.009715113	ATG22	ATG22	YCL038C	protein-vacuolar targeting* || molecular function unknown || YCL038C || 1081307	-3.23	0.0266	0.31	NA	NA	NA	0.00057	0.000445	1	0.41	0.423	NA	up	no	Insensitive_up
33	YER011W	103	8.45e-11	4.59e-09	0.205689992	0.031682204	2.530533324	2.648995664	0.176673726	0.272398728	0.051733983	0.272398728	TIR1	TIR1	YER011W	response to stress || structural constituent of cell wall || YER011W || 1086275	-3.23	0.0269	0.13	NA	NA	NA	0.0488	0.0341	0.82	0.6	0.957	NA	up	no	Insensitive_up
34	YCR076C	578	6.08e-05	0.000588713	0.027398127	0.006833268	4.68360446	0.052015222	0.010152541	0.007453421	0.010737656	0.010737656	YCR076C	YCR076C	YCR076C	biological process unknown || molecular function unknown || YCR076C || 1086134	-3.2	0.028	0.54	NA	NA	NA	0	3.8e-07	0.88	0.3	0.0227	NA	up	no	Insensitive_up
35	YOR185C	493	2.48e-05	0.000281865	0.048409666	0.011480884	5.144052206	0.220371949	0.006340585	0.052630118	0.008807475	0.052630118	GSP2	GSP2	YOR185C	nuclear organization and biogenesis || GTPase activity || YOR185C || 1081728	-3.2	0.0281	0.25	NA	up	NA	0.00268	0.00179	1.17	0.41	0.391	NA	up	no	Insensitive_up
36	YLR324W	537	3.69e-05	0.000385672	0.025202616	0.006108166	5.896893367	0.059372964	0.002988272	0.013703687	0.007882817	0.013703687	PEX30	PEX30	YLR324W	peroxisome organization and biogenesis || molecular function unknown || YLR324W || 1086749	-3.19	0.0282	0.38	NA	NA	NA	1e-04	5.67e-05	0.63	0.37	0.219	NA	up	no	Insensitive_up
37	YGR019W	596	7.16e-05	0.00067455	0.035979976	0.009060958	6.15813368	0.104375726	0.002171178	0.034559918	0.007930298	0.034559918	UGA1	UGA1	YGR019W	nitrogen utilization || 4-aminobutyrate transaminase activity || YGR019W || 1082213	-3.19	0.0283	0.47	NA	up	NA	0	4.27e-06	1.09	0.29	0.0135	NA	up	no	Insensitive_up
38	YLR120C	169	1.49e-08	4.95e-07	0.049123913	0.008675629	7.286438207	0.157798267	0.00073782	0.032935629	0.00877209	0.032935629	YPS1	YPS1	YLR120C	protein processing || aspartic-type endopeptidase activity || YLR120C || 1082228	-3.18	0.0287	0.35	NA	NA	NA	0.00026	0.000158	1.04	0.38	0.273	NA	up	no	Insensitive_up
39	YLR270W	665	0.000140209	0.001180078	0.034810776	0.009141969	6.130979417	0.147280054	0.002576966	0.034813862	0.007923512	0.034813862	DCS1	DCS1	YLR270W	deadenylylation-dependent decapping || hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides || YLR270W || 1083798	-3.14	0.0307	0.5	NA	up	NA	0	1.44e-06	1.05	0.3	0.0229	NA	up	no	Insensitive_up
40	YNL125C	176	2.75e-08	8.73e-07	0.027017893	0.004862058	5.923141232	0.037797921	0.002694142	0.006207759	0.007881966	0.007881966	ESBP6	ESBP6	YNL125C	transport || transporter activity* || YNL125C || 1084655	-3.1	0.0324	0.33	NA	NA	NA	0.00033	0.000234	0.2	0.36	0.187	NA	up	no	Insensitive_up
41	YBR230C	352	3.51e-06	5.58e-05	0.038268753	0.0082499	5.801557288	0.137717935	0.003235767	0.027213929	0.00790884	0.027213929	OM14	YBR230C	YBR230C	biological process unknown || molecular function unknown || YBR230C || 1085166	-3.08	0.0333	0.08	NA	up	NA	0.136	0.103	0.06	0.67	0.99	NA	NA	no	Insensitive_up
42	YBR132C	570	5.41e-05	0.000531261	0.029527887	0.007314037	5.960207081	0.15848898	0.00280707	0.021126083	0.007884288	0.021126083	AGP2	AGP2	YBR132C	response to osmotic stress* || amino acid transporter activity* || YBR132C || 1084971	-3.06	0.0346	0.2	NA	NA	NA	0.00902	0.00599	0.31	0.49	0.757	NA	up	no	Insensitive_up
43	YCL025C	1396	0.00571478	0.022912338	0.026568716	0.009613414	4.860905996	0.097751606	0.008327225	0.033019481	0.009811263	0.033019481	AGP1	AGP1	YCL025C	amino acid transport || amino acid transporter activity* || YCL025C || 1082068	-3.05	0.035	0.02	NA	NA	NA	0.423	0.371	-0.02	1.55	1	NA	up	no	Insensitive_up
44	YKL065C	414	1.01e-05	0.000135567	0.025374239	0.005746584	6.513823024	0.078645238	0.00165996	0.013114282	0.008137341	0.013114282	YET1	YKL065C	YKL065C	biological process unknown || molecular function unknown || YKL065C || 1083862	-3.03	0.0364	0.53	NA	up	NA	0	5.52e-07	0.79	0.3	0.0226	NA	NA	no	Insensitive_up
45	YOR161C	1286	0.003929213	0.017100939	0.034858501	0.012087741	7.037775319	0.155823856	0.00088507	0.064484547	0.008541565	0.064484547	PNS1	PNS1	YOR161C	biological process unknown || molecular function unknown* || YOR161C || 1084844	-3.03	0.036	0.08	NA	up	NA	0.139	0.105	1.29	0.74	0.998	NA	up	no	Insensitive_up
46	YBR071W	525	3.37e-05	0.000358616	0.032993044	0.007956003	5.482204433	0.155969922	0.004362281	0.023956563	0.008144437	0.023956563	YBR071W	YBR071W	YBR071W	biological process unknown || molecular function unknown || YBR071W || 1082724	-2.99	0.039	0.36	NA	NA	NA	0.00017	0.000118	0.94	0.33	0.0707	NA	up	no	Insensitive_up
47	YOR019W	1373	0.005181967	0.021124158	0.028309076	0.010126663	3.773368311	0.059005515	0.026829493	-0.004328256	0.019049974	0.019049974	YOR019W	YOR019W	YOR019W	biological process unknown || molecular function unknown || YOR019W || 1083496	-2.99	0.0389	0.37	NA	NA	NA	0.00014	9.41e-05	1.06	0.34	0.0983	NA	up	no	Insensitive_up
48	YPL221W	213	9.1e-08	2.39e-06	0.037901386	0.007092592	7.422547103	0.113633227	0.000704978	0.021800879	0.008892388	0.021800879	FLC1	YPL221W	YPL221W	biological process unknown || molecular function unknown || YPL221W || 1081816	-2.96	0.0401	0.34	NA	NA	NA	0.00029	0.000178	0.54	0.33	0.0758	NA	NA	no	Insensitive_up
49	YGR067C	249	2.71e-07	6.09e-06	0.043453332	0.008449645	4.143537202	0.120001936	0.017125767	0.004197067	0.014816267	0.014816267	YGR067C	YGR067C	YGR067C	biological process unknown || molecular function unknown || YGR067C || 1085923	-2.83	0.0488	0.02	NA	NA	NA	0.418	0.365	0.18	0.98	1	NA	up	no	Insensitive_up
50	YNR058W	2543	0.069762296	0.15354289	0.069679532	0.03842372	6.882576025	1.271930889	0.002100077	0.658417614	0.008410466	0.658417614	BIO3	BIO3	YNR058W	biotin biosynthesis || adenosylmethionine-8-amino-7-oxononanoate transaminase activity || YNR058W || 1080950	-2.81	0.0506	0.07	NA	NA	NA	0.144	0.109	0.81	0.65	0.985	NA	NA	no	Insensitive_up
51	YMR095C	925	0.000862633	0.005219629	0.101483264	0.030458314	3.953818078	1.006766051	0.035692034	0.379355028	0.016793031	0.379355028	SNO1	SNO1	YMR095C	pyridoxine metabolism* || molecular function unknown || YMR095C || 1082483	-2.79	0.0515	0.03	NA	NA	NA	0.34	0.288	0.3	1.05	1	NA	up	no	Insensitive_up
52	YIL101C	232	1.69e-07	4.07e-06	0.126988702	0.024276603	4.963010154	1.794902868	0.016923534	0.246746923	0.009380418	0.246746923	XBP1	XBP1	YIL101C	response to stress || transcription factor activity || YIL101C || 1081287	-2.79	0.0518	0.15	NA	up	NA	0.0297	0.0199	0.89	0.5	0.785	NA	up	no	Insensitive_up
53	YBR182C	966	0.001168413	0.006769778	0.044568865	0.013728362	4.758690831	0.24753841	0.01046374	0.073854797	0.010318704	0.073854797	SMP1	SMP1	YBR182C	positive regulation of transcription from RNA polymerase II promoter* || transcription factor activity* || YBR182C || 1086747	-2.78	0.0528	0.2	NA	NA	NA	0.00881	0.00587	0.79	0.45	0.601	NA	up	no	Insensitive_up
54	YLR004C	598	7.4e-05	0.000692594	0.04528974	0.011428006	3.519337635	0.126616998	0.035446073	0.014569277	0.022982669	0.022982669	THI73	YLR004C	YLR004C	transport || transporter activity || YLR004C || 1086381	-2.76	0.0539	0.22	NA	NA	NA	0.00666	0.00436	0.44	0.4	0.332	NA	NA	no	Insensitive_up
55	YER039C	1469	0.006894816	0.026269764	0.030946634	0.011453731	4.082593093	0.178372567	0.019594739	0.039097355	0.015411076	0.039097355	HVG1	HVG1	YER039C	biological process unknown || molecular function unknown || YER039C || 1081783	-2.75	0.055	0.22	NA	NA	NA	0.00556	0.00374	0.75	0.4	0.349	NA	up	no	Insensitive_up
56	YJL066C	363	4.1e-06	6.32e-05	0.029841205	0.006478389	5.027180667	0.100543573	0.006714656	0.012062059	0.009152477	0.012062059	MPM1	MPM1	YJL066C	biological process unknown || molecular function unknown || YJL066C || 1086097	-2.74	0.056	0.13	NA	up	NA	0.043	0.0294	-0.11	0.55	0.901	NA	up	no	Insensitive_up
57	YOR186W	1911	0.021845739	0.063991291	0.05638104	0.024587908	2.115995421	0.480620125	0.196086868	0.072723128	0.074389166	0.074389166	YOR186W	YOR186W	YOR186W	biological process unknown || molecular function unknown || YOR186W || 1086009	-2.7	0.0589	0.47	NA	NA	NA	0	4.17e-06	1.08	0.25	0.0019	NA	NA	no	Insensitive_up
58	YAR027W	370	4.38e-06	6.62e-05	0.040228781	0.008759277	5.448305052	0.08958443	0.004510963	0.029814952	0.008187077	0.029814952	UIP3	UIP3	YAR027W	biological process unknown || molecular function unknown || YAR027W || 1082932	-2.67	0.0622	0.33	NA	NA	NA	0.00039	0.000272	0.77	0.29	0.0206	NA	up	no	Insensitive_up
59	YLR164W	1220	0.003171565	0.014550205	0.027918068	0.009461825	4.271484882	0.120397904	0.015101433	0.024951602	0.013679893	0.024951602	YLR164W	YLR164W	YLR164W	biological process unknown || molecular function unknown || YLR164W || 1083704	-2.67	0.0615	0.16	NA	NA	NA	0.0243	0.0163	0.89	0.39	0.315	NA	up	no	Insensitive_up
60	YPL004C	1636	0.0114695	0.03923887	0.027708929	0.010960554	8.100089782	0.203042468	0.000326032	0.053420521	0.009343839	0.053420521	LSP1	LSP1	YPL004C	response to heat || protein kinase inhibitor activity || YPL004C || 1081107	-2.67	0.0616	0.19	NA	up	NA	0.0125	0.00817	0.86	0.44	0.571	NA	up	no	Insensitive_up
61	YBR053C	1417	0.005941648	0.023468881	0.037817924	0.013747051	5.602342075	0.265011781	0.004345254	0.080203021	0.008033433	0.080203021	YBR053C	YBR053C	YBR053C	biological process unknown || molecular function unknown || YBR053C || 1081406	-2.65	0.0634	0.53	NA	up	NA	0	4.84e-07	1.05	0.26	0.0032	NA	up	no	Insensitive_up
62	YFR022W	322	2.04e-06	3.54e-05	0.030666462	0.006456501	5.856185158	0.052981972	0.003048428	0.015601623	0.007889079	0.015601623	ROG3	ROG3	YFR022W	biological process unknown || molecular function unknown || YFR022W || 1080733	-2.63	0.0651	0.11	NA	NA	NA	0.0613	0.0433	1.12	0.52	0.835	NA	up	no	Insensitive_up
63	YDR032C	523	3.34e-05	0.000356901	0.029805451	0.007184012	6.735810999	0.078735803	0.00117434	0.021915435	0.008309103	0.021915435	PST2	PST2	YDR032C	biological process unknown || molecular function unknown || YDR032C || 1080802	-2.61	0.0672	0.31	NA	up	NA	0.00052	0.000394	0.52	0.31	0.0433	NA	up	no	Insensitive_up
64	YDL206W	494	2.49e-05	0.000282551	0.025224992	0.005984071	5.721581208	0.046578676	0.003714606	0.012306004	0.007956883	0.012306004	YDL206W	YDL206W	YDL206W	biological process unknown || molecular function unknown || YDL206W || 1085518	-2.6	0.0682	0.37	NA	NA	NA	0.00014	8.49e-05	0.86	0.27	0.006	NA	up	no	Insensitive_up
65	YLR251W	208	7.16e-08	1.93e-06	0.058297894	0.010821539	4.306539727	0.297526644	0.015800702	0.036591139	0.013391337	0.036591139	SYM1	SYM1	YLR251W	ethanol metabolism || molecular function unknown || YLR251W || 1081158	-2.58	0.0708	0.26	NA	up	NA	0.00199	0.00138	1.25	0.37	0.2	NA	up	no	Insensitive_up
66	YNR002C	98	6.64e-11	3.79e-09	0.107692353	0.016495725	3.449070375	0.97998702	0.065453973	0.056284673	0.024252618	0.056284673	ATO2	FUN34	YNR002C	transport* || transporter activity || YNR002C || 1082860	-2.53	0.075	0.03	NA	up	NA	0.371	0.319	-1.1	0.96	1	NA	NA	no	Insensitive_up
67	YOR003W	230	1.54e-07	3.75e-06	0.032087318	0.006114914	5.052743121	0.07980355	0.00765896	0.006335654	0.009069897	0.009069897	YSP3	YSP3	YOR003W	protein catabolism || peptidase activity || YOR003W || 1080739	-2.51	0.077	0.09	NA	NA	NA	0.0986	0.0722	0.92	0.49	0.741	NA	up	no	Insensitive_up
68	YDL022W	710	0.000216333	0.001705373	0.045526108	0.01230722	7.991401483	0.266890383	0.000388804	0.067376216	0.009278804	0.067376216	GPD1	GPD1	YDL022W	intracellular accumulation of glycerol || glycerol-3-phosphate dehydrogenase (NAD+) activity || YDL022W || 1080794	-2.5	0.079	0.14	NA	up	NA	0.0362	0.0245	0.93	0.49	0.75	NA	up	no	Insensitive_up
69	YDR476C	2325	0.047334382	0.113948617	0.028827114	0.014534953	5.919191448	0.131771841	0.003043309	0.091474341	0.007881951	0.091474341	YDR476C	YDR476C	YDR476C	biological process unknown || molecular function unknown || YDR476C || 1081120	-2.48	0.0802	0.16	NA	NA	NA	0.0259	0.0174	0.1	0.41	0.381	NA	NA	no	Insensitive_up
70	YNR059W	408	8.6e-06	0.000118016	0.027307235	0.006137004	5.916158991	0.051538548	0.003137692	0.013712249	0.007881973	0.013712249	MNT4	MNT4	YNR059W	protein amino acid O-linked glycosylation || alpha-1,3-mannosyltransferase activity || YNR059W || 1081008	-2.45	0.0838	0.46	NA	NA	NA	0	5.33e-06	0.93	0.24	0.001	NA	up	no	Insensitive_up
71	YAL053W	66	2.28e-13	1.91e-11	0.033898621	0.004623942	7.730347236	0.057443047	0.000452582	0.004565043	0.009112977	0.009112977	FLC2	YAL053W	YAL053W	biological process unknown || molecular function unknown || YAL053W || 1082743	-2.41	0.088	0.16	NA	NA	NA	0.0244	0.0164	0.55	0.4	0.326	NA	NA	no	Insensitive_up
72	YDR214W	24	4.77e-18	1.11e-15	0.046000814	0.005312654	6.738477746	0.181957485	0.001307707	0.011319541	0.008310687	0.011319541	AHA1	AHA1	YDR214W	response to stress* || chaperone activator activity || YDR214W || 1082033	-2.41	0.088	0.17	NA	NA	NA	0.0181	0.0119	0.38	0.38	0.267	NA	up	no	Insensitive_up
73	YKR075C	1784	0.016544274	0.051912511	0.040568662	0.016927011	4.015800368	0.373588834	0.021439506	0.106748141	0.016105828	0.106748141	YKR075C	YKR075C	YKR075C	biological process unknown || molecular function unknown || YKR075C || 1081480	-2.41	0.0888	0.07	NA	NA	NA	0.154	0.118	0.91	0.61	0.966	NA	NA	no	Insensitive_up
74	YKL161C	91	3.03e-11	1.86e-09	0.044362097	0.006675893	5.105318183	0.25132829	0.00737813	0.012560914	0.008913032	0.012560914	YKL161C	YKL161C	YKL161C	biological process unknown || protein kinase activity || YKL161C || 1082038	-2.4	0.0899	0.12	NA	NA	NA	0.0546	0.0384	0.69	0.47	0.678	NA	up	no	Insensitive_up
75	YDL010W	393	6.68e-06	9.5e-05	0.029120108	0.00646587	4.819380198	0.119999193	0.008695653	0.001631231	0.010008567	0.010008567	GRX6	YDL010W	YDL010W	biological process unknown || molecular function unknown || YDL010W || 1085179	-2.38	0.0924	0.27	NA	NA	NA	0.00155	0.00114	0.96	0.3	0.0229	NA	NA	no	Insensitive_up
76	YER184C	301	1.32e-06	2.45e-05	0.034614146	0.007156422	5.514443509	0.114021327	0.004376212	0.018536554	0.008109202	0.018536554	YER184C	YER184C	YER184C	biological process unknown || molecular function unknown || YER184C || 1080681	-2.35	0.0963	0.3	NA	NA	NA	0.00071	0.000501	0.68	0.32	0.0625	NA	up	no	Insensitive_up
